20 74	' ' 't'
6d 656e74	'm' 'ent'
72 69	'r' 'i'
2061 7265	' a' 're'
20 44	' ' 'D'
20 31	' ' '1'
75 73	'u' 's'
6573 74	'es' 't'
6973 74	'is' 't'
2063 6f6d	' c' 'om'
616e 64	'an' 'd'
20 52	' ' 'R'
6f 70	'o' 'p'
61 696e	'a' 'in'
2054 6865	' T' 'he'
20 32	' ' '2'
6967 68	'ig' 'h'
72 6f6d	'r' 'om'
20 28	' ' '('
6f72 74	'or' 't'
6f 64	'o' 'd'
206e 65	' n' 'e'
20 46	' ' 'F'
75 6d	'u' 'm'
75 6e	'u' 'n'
2065 78	' e' 'x'
7265 73	're' 's'
61 62	'a' 'b'
e280 9d	'�' '�'
206e 6f74	' n' 'ot'
20 4e	' ' 'N'
20 76	' ' 'v'
6573 73	'es' 's'
206861 7665	' ha' 've'
6974 79	'it' 'y'
65 6d	'e' 'm'
6f75 6c64	'ou' 'ld'
206f 72	' o' 'r'
74 68	't' 'h'
2062 79	' b' 'y'
6f 73	'o' 's'
616e 74	'an' 't'
20 47	' ' 'G'
69 7665	'i' 've'
2066 726f6d	' f' 'rom'
2061 6c	' a' 'l'
65 6c	'e' 'l'
27 73	"'" 's'
6f 63	'o' 'c'
6172 74	'ar' 't'
2073 75	' s' 'u'
20 4c	' ' 'L'
2073 68	' s' 'h'
207468 6973	' th' 'is'
6e 74	'n' 't'
71 75	'q' 'u'
696768 74	'igh' 't'
70 65	'p' 'e'
75 7374	'u' 'st'
20 6c65	' ' 'le'
69 6573	'i' 'es'
20 45	' ' 'E'
656e 64	'en' 'd'
2063 68	' c' 'h'
2073 61	' s' 'a'
6f75 74	'ou' 't'
2061 62	' a' 'b'
54 6865	'T' 'he'
616c 6c	'al' 'l'
69 65	'i' 'e'
6163 6b	'ac' 'k'
7265 64	're' 'd'
30 30	'0' '0'
20e280 9c	' �' '�'
2068 6173	' h' 'as'
616c 6c79	'al' 'ly'
20 4a	' ' 'J'
2070 6c	' p' 'l'
2067 6f	' g' 'o'
6172 64	'ar' 'd'
69 76	'i' 'v'
2068 6973	' h' 'is'
6f6d 65	'om' 'e'
61 70	'a' 'p'
6f 7374	'o' 'st'
67 68	'g' 'h'
65 6172	'e' 'ar'
20 4f	' ' 'O'
2074 72	' t' 'r'
6f75 72	'ou' 'r'
6173 74	'as' 't'
20 6a	' ' 'j'
61 6b	'a' 'k'
75 64	'u' 'd'
2064 6f	' d' 'o'
20746865 79	' the' 'y'
2062 7574	' b' 'ut'
2077 6f72	' w' 'or'
72 6f75	'r' 'ou'
2063 616e	' c' 'an'
67 65	'g' 'e'
2077 696c6c	' w' 'ill'
207361 6964	' sa' 'id'
2077 6865	' w' 'he'
20 55	' ' 'U'
20 6b	' ' 'k'
6963 68	'ic' 'h'
2061 6c6c	' a' 'll'
6f 6b	'o' 'k'
20 22	' ' '"'
6964 65	'id' 'e'
207768 6f	' wh' 'o'
20696e 74	' in' 't'
616d 65	'am' 'e'
616e 73	'an' 's'
74 686572	't' 'her'
69 616c	'i' 'al'
206f 7574	' o' 'ut'
66 66	'f' 'f'
20746865 6972	' the' 'ir'
6f6e 67	'on' 'g'
65 6374	'e' 'ct'
70 6c	'p' 'l'
6963 65	'ic' 'e'
75 7265	'u' 're'
70 74	'p' 't'
6f6e 65	'on' 'e'
206d 6f7265	' m' 'ore'
6167 65	'ag' 'e'
696f6e 73	'ion' 's'
6163 74	'ac' 't'
69 6b65	'i' 'ke'
206d 65	' m' 'e'
2075 70	' u' 'p'
6f75 73	'ou' 's'
696e 65	'in' 'e'
2061 64	' a' 'd'
206162 6f7574	' ab' 'out'
6174 6564	'at' 'ed'
72 61	'r' 'a'
62 6572	'b' 'er'
206f6e 65	' on' 'e'
207765 7265	' we' 're'
2073 6f	' s' 'o'
2075 73	' u' 's'
696d 65	'im' 'e'
6f 67	'o' 'g'
20 4b	' ' 'K'
65 70	'e' 'p'
69 61	'i' 'a'
2068 6164	' h' 'ad'
61 7265	'a' 're'
75 62	'u' 'b'
63 63	'c' 'c'
2077 6f756c64	' w' 'ould'
2063 6c	' c' 'l'
2032 30	' 2' '0'
20 696d	' ' 'im'
207768 696368	' wh' 'ich'
696e 64	'in' 'd'
75 65	'u' 'e'
61 6b65	'a' 'ke'
20636f6e 74	' con' 't'
69 7a	'i' 'z'
766572 79	'ver' 'y'
2061 67	' a' 'g'
2074 65	' t' 'e'
206f66 66	' of' 'f'
20636f6d 70	' com' 'p'
2075 6e	' u' 'n'
206265 656e	' be' 'en'
2053 74	' S' 't'
73 6f	's' 'o'
20 656e	' ' 'en'
70 6572	'p' 'er'
6967 6e	'ig' 'n'
61 75	'a' 'u'
2054 68	' T' 'h'
6172 79	'ar' 'y'
6163 65	'ac' 'e'
2079 656172	' y' 'ear'
69 70	'i' 'p'
65 77	'e' 'w'
206c 696b65	' l' 'ike'
65 7265	'e' 're'
76 656e	'v' 'en'
6f 6f6b	'o' 'ok'
20696e 63	' in' 'c'
6179 73	'ay' 's'
206d 616e	' m' 'an'
2070 65	' p' 'e'
72 79	'r' 'y'
6f 7365	'o' 'se'
207265 73	' re' 's'
6162 6c65	'ab' 'le'
6974 65	'it' 'e'
2070 6572	' p' 'er'
6173 73	'as' 's'
6f72 64	'or' 'd'
2073 70	' s' 'p'
69 7265	'i' 're'
2049 6e	' I' 'n'
206f 74686572	' o' 'ther'
6d 6572	'm' 'er'
2073 6f6d65	' s' 'ome'
69 6c65	'i' 'le'
69 62	'i' 'b'
656e 6365	'en' 'ce'
6f70 6c65	'op' 'le'
203230 31	' 20' '1'
6b 73	'k' 's'
6174696f6e 73	'ation' 's'
206f 766572	' o' 'ver'
6963 616c	'ic' 'al'
20746865 7265	' the' 're'
726573 73	'res' 's'
2064 6973	' d' 'is'
756c 74	'ul' 't'
696e 74	'in' 't'
206e65 77	' ne' 'w'
6f77 6e	'ow' 'n'
20616c 736f	' al' 'so'
207468 616e	' th' 'an'
2061 72	' a' 'r'
206265 63	' be' 'c'
72 75	'r' 'u'
20746865 6d	' the' 'm'
616e 6365	'an' 'ce'
6f75 6e74	'ou' 'nt'
6f75 6768	'ou' 'gh'
2061 7070	' a' 'pp'
70 6f7274	'p' 'ort'
61 696c	'a' 'il'
2070 617274	' p' 'art'
20796f75 72	' you' 'r'
20776865 6e	' whe' 'n'
7265 65	're' 'e'
207768 6174	' wh' 'at'
6f72 6d	'or' 'm'
6f6e 64	'on' 'd'
207065 6f706c65	' pe' 'ople'
66 746572	'f' 'ter'
2073 63	' s' 'c'
2043 68	' C' 'h'
61 76	'a' 'v'
6173 65	'as' 'e'
20 7175	' ' 'qu'
20616e 79	' an' 'y'
206a 757374	' j' 'ust'
206974 73	' it' 's'
20 59	' ' 'Y'
6163 68	'ac' 'h'
2074 696d65	' t' 'ime'
2049 74	' I' 't'
206b 6e	' k' 'n'
206865 72	' he' 'r'
20 33	' ' '3'
656e 73	'en' 's'
6c 6963	'l' 'ic'
207265 63	' re' 'c'
7265 6174	're' 'at'
206d 79	' m' 'y'
2067 6574	' g' 'et'
20 6966	' ' 'if'
20 56	' ' 'V'
69 616e	'i' 'an'
2e e2809d	'.' '”'
20696e74 6f	' int' 'o'
6f75 6e64	'ou' 'nd'
20776f72 6b	' wor' 'k'
2074 77	' t' 'w'
6972 7374	'ir' 'st'
7665 6c	've' 'l'
6374 696f6e	'ct' 'ion'
206e 6f	' n' 'o'
64 75	'd' 'u'
696e67 73	'ing' 's'
6f72 79	'or' 'y'
6963 6b	'ic' 'k'
6f72 73	'or' 's'
206f 7572	' o' 'ur'
6974 696f6e	'it' 'ion'
6964 656e74	'id' 'ent'
6f 62	'o' 'b'
20 2d	' ' '-'
2070 7265	' p' 're'
6f 7665	'o' 've'
20706c 6179	' pl' 'ay'
616e 67	'an' 'g'
696e 6b	'in' 'k'
6175 7365	'au' 'se'
77 6e	'w' 'n'
74 65	't' 'e'
616d 70	'am' 'p'
6164 65	'ad' 'e'
68 696e67	'h' 'ing'
6174 6573	'at' 'es'
6172 6b	'ar' 'k'
20 726f	' ' 'ro'
2070 6f6c	' p' 'ol'
2073 6865	' s' 'he'
766572 73	'ver' 's'
2063 6f	' c' 'o'
2c e2809d	',' '”'
2061 66746572	' a' 'fter'
6e 65	'n' 'e'
2066 69727374	' f' 'irst'
2063 6f756c64	' c' 'ould'
2068 6f77	' h' 'ow'
2048 65	' H' 'e'
2031 39	' 1' '9'
69 6f7573	'i' 'ous'
6e64 6572	'nd' 'er'
69 6c64	'i' 'ld'
2061 6363	' a' 'cc'
2068 696d	' h' 'im'
61 77	'a' 'w'
27 74	"'" 't'
6f6e 73	'on' 's'
2070 6f	' p' 'o'
206f6e 6c79	' on' 'ly'
2066 65	' f' 'e'
206174 74	' at' 't'
6963 74	'ic' 't'
6865 64	'he' 'd'
2070 72	' p' 'r'
207477 6f	' tw' 'o'
72 6974	'r' 'it'
6f 76	'o' 'v'
6973 68	'is' 'h'
20636f6d 6d	' com' 'm'
e280 9c	'�' '�'
66 6f726d	'f' 'orm'
2073 7065	' s' 'pe'
2061 6374	' a' 'ct'
77 65	'w' 'e'
6572 76	'er' 'v'
2062 6c	' b' 'l'
66 74	'f' 't'
206265 74	' be' 't'
206465 63	' de' 'c'
2e 22	'.' '"'
6e 696e67	'n' 'ing'
2062 61636b	' b' 'ack'
206d 6f7374	' m' 'ost'
63 6573	'c' 'es'
6f 6f64	'o' 'od'
63 6b	'c' 'k'
20e280 93	' �' '�'
2061 6d	' a' 'm'
6f 79	'o' 'y'
2064 6964	' d' 'id'
726f75 6768	'rou' 'gh'
6966 66	'if' 'f'
6174 6572	'at' 'er'
726f75 6e64	'rou' 'nd'
206167 61696e	' ag' 'ain'
20 34	' ' '4'
75 616c	'u' 'al'
64 6179	'd' 'ay'
6973 65	'is' 'e'
2075 6e646572	' u' 'nder'
2064 6573	' d' 'es'
2077 616e74	' w' 'ant'
75 6c6c	'u' 'll'
7365 6c	'se' 'l'
20636f6e 73	' con' 's'
20e280 94	' �' '�'
2e 2e	'.' '.'
20626563 61757365	' bec' 'ause'
206e 6f77	' n' 'ow'
6c 7564	'l' 'ud'
656e74 73	'ent' 's'
2079656172 73	' year' 's'
6d 616e	'm' 'an'
746572 6e	'ter' 'n'
7562 6c6963	'ub' 'lic'
65 63	'e' 'c'
206e65 6564	' ne' 'ed'
2065 76656e	' e' 'ven'
20 24	' ' '$'
6973 73	'is' 's'
20696e 76	' in' 'v'
206b6e 6f77	' kn' 'ow'
2057 65	' W' 'e'
207365 65	' se' 'e'
6d656e74 73	'ment' 's'
63 6564	'c' 'ed'
206164 64	' ad' 'd'
2c 22	',' '"'
74 696e67	't' 'ing'
6f 6c64	'o' 'ld'
20696e 64	' in' 'd'
207365 63	' se' 'c'
66 6f7265	'f' 'ore'
75 6368	'u' 'ch'
2065 76657279	' e' 'very'
7572 6e	'ur' 'n'
20 35	' ' '5'
207375 7070	' su' 'pp'
206d 616b65	' m' 'ake'
7065 6374	'pe' 'ct'
2055 6e	' U' 'n'
2065 6d	' e' 'm'
20746865 7365	' the' 'se'
6f63 6b	'oc' 'k'
6f 6c6c	'o' 'll'
20776865 7265	' whe' 're'
6a 656374	'j' 'ect'
49 6e	'I' 'n'
6174696f6e 616c	'ation' 'al'
766572 6e	'ver' 'n'
78 74	'x' 't'
2062 75	' b' 'u'
206c 6f6f6b	' l' 'ook'
54 68	'T' 'h'
2041 6e64	' A' 'nd'
6f73 73	'os' 's'
2064 6f6e	' d' 'on'
2065 76	' e' 'v'
756d 70	'um' 'p'
6174 696e67	'at' 'ing'
2077 6179	' w' 'ay'
206265 696e67	' be' 'ing'
207265 6d	' re' 'm'
2072 69676874	' r' 'ight'
69 6c79	'i' 'ly'
206d 6179	' m' 'ay'
6e 67	'n' 'g'
726f 77	'ro' 'w'
6c65 6374	'le' 'ct'
6965 77	'ie' 'w'
20746865 6e	' the' 'n'
206d616e 79	' man' 'y'
20 5b	' ' '['
2064 696666	' d' 'iff'
206465 66	' de' 'f'
6173 6f6e	'as' 'on'
207265 6c	' re' 'l'
2063 616c6c	' c' 'all'
2042 7574	' B' 'ut'
2054 72	' T' 'r'
6f6e 74	'on' 't'
69 6564	'i' 'ed'
6c 6573	'l' 'es'
6173 6564	'as' 'ed'
20696e63 6c7564	' inc' 'lud'
207468 696e6b	' th' 'ink'
616b 696e67	'ak' 'ing'
207265 67	' re' 'g'
29 2e	')' '.'
6d6572 6963	'mer' 'ic'
20696d 70	' im' 'p'
207468 726f756768	' th' 'rough'
6174 68	'at' 'h'
6974 6564	'it' 'ed'
7269 62	'ri' 'b'
2073 79	' s' 'y'
207368 6f756c64	' sh' 'ould'
2070 726573	' p' 'res'
2073 6179	' s' 'ay'
65 6c6c	'e' 'll'
2066 6c	' f' 'l'
7572 696e67	'ur' 'ing'
206c 617374	' l' 'ast'
207468 6f7365	' th' 'ose'
6f77 6572	'ow' 'er'
20 76657279	' ' 'very'
74 79	't' 'y'
6f74 686572	'ot' 'her'
206d 756368	' m' 'uch'
6974 696573	'it' 'ies'
6966 6963	'if' 'ic'
207374 617465	' st' 'ate'
205468 6973	' Th' 'is'
6174 697665	'at' 'ive'
207368 6f77	' sh' 'ow'
74 6c65	't' 'le'
6865 6e	'he' 'n'
2062 72	' b' 'r'
73 73	's' 's'
6172 67	'ar' 'g'
207765 6c6c	' we' 'll'
6f74 68	'ot' 'h'
2070 68	' p' 'h'
2057 68	' W' 'h'
2063 6f756e74	' c' 'ount'
616c 73	'al' 's'
75 6e64	'u' 'nd'
2032 3030	' 2' '00'
20646f 6573	' do' 'es'
2064 6f776e	' d' 'own'
206f 776e	' o' 'wn'
6172 6c79	'ar' 'ly'
20 656e64	' ' 'end'
206173 73	' as' 's'
206265 6c	' be' 'l'
2075 7365	' u' 'se'
6963 73	'ic' 's'
616e 6765	'an' 'ge'
2d 2d	'-' '-'
74 73	't' 's'
206c 6f6e67	' l' 'ong'
2041 6d65726963	' A' 'meric'
746572 73	'ter' 's'
696e 6365	'in' 'ce'
206265 666f7265	' be' 'fore'
6f6d 6574	'om' 'et'
67 72	'g' 'r'
206d 6f6e	' m' 'on'
77 617264	'w' 'ard'
20676f 7665726e	' go' 'vern'
207374 617274	' st' 'art'
207265 706f7274	' re' 'port'
6962 6c65	'ib' 'le'
20 6b65	' ' 'ke'
75 70	'u' 'p'
75 6573	'u' 'es'
204e 6577	' N' 'ew'
2066 696e	' f' 'in'
207465 616d	' te' 'am'
62 6c65	'b' 'le'
206d 616465	' m' 'ade'
6966 65	'if' 'e'
6f6c 6f67	'ol' 'og'
656e 6572	'en' 'er'
29 2c	')' ','
207375 6368	' su' 'ch'
7265 6e	're' 'n'
63 6f6d	'c' 'om'
6f75 6e	'ou' 'n'
657273 6f6e	'ers' 'on'
65 6b	'e' 'k'
69 78	'i' 'x'
2073 6d	' s' 'm'
e280 94	'�' '�'
6c 70	'l' 'p'
696c 697479	'il' 'ity'
20676f 696e67	' go' 'ing'
6973 6d	'is' 'm'
66 756c	'f' 'ul'
20776f72 6c64	' wor' 'ld'
75 616c6c79	'u' 'ally'
207374 7564	' st' 'ud'
697374 73	'ist' 's'
20676f 6f64	' go' 'od'
2061 63	' a' 'c'
74 61696e	't' 'ain'
49 74	'I' 't'
207375 62	' su' 'b'
2065 6666	' e' 'ff'
2073 7572	' s' 'ur'
20616761696e 7374	' again' 'st'
6974 73	'it' 's'
2067 616d65	' g' 'ame'
2073 6574	' s' 'et'
6f72 6b	'or' 'k'
20 36	' ' '6'
2067 75	' g' 'u'
20706f 696e74	' po' 'int'
20 656e74	' ' 'ent'
79 73	'y' 's'
3030 30	'00' '0'
67 616e	'g' 'an'
6172 73	'ar' 's'
6c 69	'l' 'i'
7374 656d	'st' 'em'
2070726f 76	' pro' 'v'
207374 696c6c	' st' 'ill'
726f75 70	'rou' 'p'
207768 696c65	' wh' 'ile'
696c6c 696f6e	'ill' 'ion'
206865 6c70	' he' 'lp'
206c65 6164	' le' 'ad'
206d 696e	' m' 'in'
7765 656e	'we' 'en'
65 66	'e' 'f'
61 78	'a' 'x'
616e 6b	'an' 'k'
616c 6b	'al' 'k'
696d 6573	'im' 'es'
2073 617973	' s' 'ays'
206f 62	' o' 'b'
6d 73	'm' 's'
63 79	'c' 'y'
2070726f 6475	' pro' 'du'
2067 72	' g' 'r'
20696e 746572	' in' 'ter'
20696e 7374	' in' 'st'
207374 72	' st' 'r'
63 657373	'c' 'ess'
2073 696d	' s' 'im'
69 6f	'i' 'o'
73656c 66	'sel' 'f'
20636f6e 66	' con' 'f'
2063 6f6c	' c' 'ol'
2074 616b65	' t' 'ake'
75 726573	'u' 'res'
6172 6368	'ar' 'ch'
2073 616d65	' s' 'ame'
207468 6f756768	' th' 'ough'
20626574 7765656e	' bet' 'ween'
6f6c6c 6f77	'oll' 'ow'
206f6666 6963	' off' 'ic'
65 766572	'e' 'ver'
2063 72	' c' 'r'
2064696666 657265	' diff' 'ere'
6f 6f6c	'o' 'ol'
7573 73	'us' 's'
7574 696f6e	'ut' 'ion'
6c 616e64	'l' 'and'
20646973 63	' dis' 'c'
61 6972	'a' 'ir'
206f 70	' o' 'p'
61 68	'a' 'h'
20 6564	' ' 'ed'
2068 696768	' h' 'igh'
7265 6164	're' 'ad'
206e 756d	' n' 'um'
206c 6177	' l' 'aw'
2073 69676e	' s' 'ign'
77 6179	'w' 'ay'
20676f7665726e 6d656e74	' govern' 'ment'
67 67	'g' 'g'
2052 65	' R' 'e'
6c 6564	'l' 'ed'
6e 6572	'n' 'er'
68 6970	'h' 'ip'
6174 6368	'at' 'ch'
6865 73	'he' 's'
616d 6573	'am' 'es'
616e 79	'an' 'y'
2074 6572	' t' 'er'
2073 6f6d6574	' s' 'omet'
63 656e74	'c' 'ent'
76656c 6f70	'vel' 'op'
74 6564	't' 'ed'
57 65	'W' 'e'
207265 66	' re' 'f'
207472 616e73	' tr' 'ans'
74 656e	't' 'en'
20696e 73	' in' 's'
2072 756e	' r' 'un'
2073 6572	' s' 'er'
2066 6f756e64	' f' 'ound'
207468 726565	' th' 'ree'
6976 6573	'iv' 'es'
61 7665	'a' 've'
206d 656d	' m' 'em'
2061 726f756e64	' a' 'round'
206865 7265	' he' 're'
6174 686572	'at' 'her'
206d 6564	' m' 'ed'
207265 616c	' re' 'al'
207573 6564	' us' 'ed'
6f75 7365	'ou' 'se'
2031 30	' 1' '0'
76 6564	'v' 'ed'
206578 70	' ex' 'p'
61 7a	'a' 'z'
2041 72	' A' 'r'
6365 7074	'ce' 'pt'
6f 6f74	'o' 'ot'
207379 7374656d	' sy' 'stem'
2059 6f75	' Y' 'ou'
63 69	'c' 'i'
207265 616c6c79	' re' 'ally'
206d 6f64	' m' 'od'
76 696e67	'v' 'ing'
63 6f6e	'c' 'on'
63 6572	'c' 'er'
2067 726f7570	' g' 'roup'
2073757070 6f7274	' supp' 'ort'
20 37	' ' '7'
2063 6f7572	' c' 'our'
6574 73	'et' 's'
616c 65	'al' 'e'
696e 73	'in' 's'
207265 74	' re' 't'
2068 616e64	' h' 'and'
2070 75626c6963	' p' 'ublic'
20737065 63	' spe' 'c'
70 72	'p' 'r'
204c 65	' L' 'e'
79 696e67	'y' 'ing'
2067 72656174	' g' 'reat'
2063 6172	' c' 'ar'
656e 7365	'en' 'se'
206578 74	' ex' 't'
2e 5b	'.' '['
74 6f6e	't' 'on'
697265 6374	'ire' 'ct'
2063 7572	' c' 'ur'
2066 616d	' f' 'am'
2043 6f6d	' C' 'om'
616c 7468	'al' 'th'
206861 7070	' ha' 'pp'
2066 616374	' f' 'act'
70 68	'p' 'h'
206578 706572	' ex' 'per'
20546865 79	' The' 'y'
205472 756d70	' Tr' 'ump'
2066 72	' f' 'r'
2077 6f6d	' w' 'om'
2049 73	' I' 's'
2063 6170	' c' 'ap'
2062 6f7468	' b' 'oth'
2064 6179	' d' 'ay'
2066 696e64	' f' 'ind'
2041 6c	' A' 'l'
756c 6172	'ul' 'ar'
207265 6164	' re' 'ad'
696e 6573	'in' 'es'
6f 68	'o' 'h'
6963 6573	'ic' 'es'
2064 6574	' d' 'et'
206c 6974	' l' 'it'
2073 6c	' s' 'l'
207265 70	' re' 'p'
7574 68	'ut' 'h'
65 726564	'e' 'red'
2064 7572696e67	' d' 'uring'
2053 68	' S' 'h'
2041 73	' A' 's'
20 30	' ' '0'
2073 657276	' s' 'erv'
206d6f6e 7468	' mon' 'th'
6d 696e	'm' 'in'
74 6865	't' 'he'
6973 696f6e	'is' 'ion'
2063 7265	' c' 're'
206465 76656c6f70	' de' 'velop'
2062 6967	' b' 'ig'
20 38	' ' '8'
2070 6572736f6e	' p' 'erson'
616b 6573	'ak' 'es'
2066 6f6c6c6f77	' f' 'ollow'
2043 6c	' C' 'l'
206973 73	' is' 's'
65 78	'e' 'x'
20746f 6c64	' to' 'ld'
2073 696e6365	' s' 'ince'
61 726564	'a' 'red'
6d 6564	'm' 'ed'
6963 616c6c79	'ic' 'ally'
207765 656b	' we' 'ek'
6167 6573	'ag' 'es'
69 76657273	'i' 'vers'
2077 6172	' w' 'ar'
2066 6577	' f' 'ew'
6f7274 68	'ort' 'h'
6f7264 696e67	'ord' 'ing'
2063 656e74	' c' 'ent'
206c65 67	' le' 'g'
61 6a	'a' 'j'
67 6574	'g' 'et'
20706f6c 6974	' pol' 'it'
76 6573	'v' 'es'
6173 68	'as' 'h'
206578 706c	' ex' 'pl'
206c 6f74	' l' 'ot'
72 6963	'r' 'ic'
2053 65	' S' 'e'
2062656c 6965	' bel' 'ie'
2067 656e6572	' g' 'ener'
20746f 6f	' to' 'o'
20 39	' ' '9'
64 6572	'd' 'er'
6174 61	'at' 'a'
7265 6e74	're' 'nt'
206f 7070	' o' 'pp'
57 68	'W' 'h'
207265 7175	' re' 'qu'
20636f6e74 696e	' cont' 'in'
2070726f 74	' pro' 't'
69 6574	'i' 'et'
62 657273	'b' 'ers'
616e 63	'an' 'c'
2066 696c	' f' 'il'
656e74 696f6e	'ent' 'ion'
6e 657373	'n' 'ess'
2063 6c65	' c' 'le'
20726573 70	' res' 'p'
2070 7574	' p' 'ut'
697a 6564	'iz' 'ed'
2049 66	' I' 'f'
20616e 6f74686572	' an' 'other'
32 30	'2' '0'
6368 6f6f6c	'ch' 'ool'
20696e 66	' in' 'f'
20736f6d6574 68696e67	' somet' 'hing'
2044 65	' D' 'e'
2064696666657265 6e74	' differe' 'nt'
2063 6f72	' c' 'or'
206c 6f63	' l' 'oc'
7574 65	'ut' 'e'
20696e76 657374	' inv' 'est'
2073 6f63	' s' 'oc'
2070 6f776572	' p' 'ower'
2063 6865	' c' 'he'
75 63	'u' 'c'
20 27	' ' "'"
2070 617373	' p' 'ass'
20636f6d6d 756e	' comm' 'un'
206c 696665	' l' 'ife'
2046 72	' F' 'r'
20706c 616e	' pl' 'an'
6f64 79	'od' 'y'
207265 6c65	' re' 'le'
69 656e6365	'i' 'ence'
206865 6164	' he' 'ad'
207468 696e6773	' th' 'ings'
6e 6564	'n' 'ed'
2066 6172	' f' 'ar'
206172 74	' ar' 't'
2070 6f7373	' p' 'oss'
206d 6574	' m' 'et'
7468 696e67	'th' 'ing'
6f 78	'o' 'x'
657265 7374	'ere' 'st'
2063 616d70	' c' 'amp'
726f 7373	'ro' 'ss'
6172 6765	'ar' 'ge'
2076 6f74	' v' 'ot'
69 6572	'i' 'er'
5468 6973	'Th' 'is'
76 696577	'v' 'iew'
206368 696c64	' ch' 'ild'
616e74 73	'ant' 's'
206173 6b	' as' 'k'
20 2e	' ' '.'
206d 69676874	' m' 'ight'
2065 616368	' e' 'ach'
697a 65	'iz' 'e'
696e 657373	'in' 'ess'
206465 70	' de' 'p'
206e65 766572	' ne' 'ver'
206e65 7874	' ne' 'xt'
69 6b	'i' 'k'
6965 6c64	'ie' 'ld'
20736563 6f6e64	' sec' 'ond'
206d 61726b	' m' 'ark'
74 74	't' 't'
207175 657374	' qu' 'est'
2062 7573	' b' 'us'
206164 76	' ad' 'v'
2041 6e	' A' 'n'
206465 6d	' de' 'm'
2046 6f72	' F' 'or'
20636f6d 65	' com' 'e'
2067 6f74	' g' 'ot'
20e280 98	' �' '�'
206f70 656e	' op' 'en'
2062 657374	' b' 'est'
69 656e74	'i' 'ent'
6974 616c	'it' 'al'
20616c6c 6f77	' all' 'ow'
205468 6174	' Th' 'at'
72 6174	'r' 'at'
207365 656d	' se' 'em'
2070 6f7374	' p' 'ost'
70 6c65	'p' 'le'
6e 6365	'n' 'ce'
206665 656c	' fe' 'el'
2050 726f	' P' 'ro'
2055 53	' U' 'S'
75 67	'u' 'g'
2070 7269	' p' 'ri'
6772 616d	'gr' 'am'
